total_assets,total_liabilities,total_equity,revenue,net_income,operating_income,종목코드,회사명,시장구분,연도,fs_div
28806533713375,20670643151573,8135890561802,4004222629932.0,609438704418,810006981367,029780,삼성카드,KOSPI,2023,CFS
29494082851904,21007901917139,8486180934765,4383209688411.0,664593152937,885421436897,029780,삼성카드,KOSPI,2024,CFS
32174782000000,23311498000000,8863284000000,,645923000000,853695000000,029780,삼성카드,KOSPI,2025,CFS
