total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
105285475119,14696967273,90588507846,2893328683,-16337359251,-15381915763,348150,고바이오랩,KOSDAQ,2021,CFS
123929933737,28475043065,95454890672,11605576680,-20291548073,-23385891159,348150,고바이오랩,KOSDAQ,2022,CFS
114622908607,52803920782,61818987825,33138037063,-18458047336,-15157847947,348150,고바이오랩,KOSDAQ,2023,CFS
102095527727,46618414365,55477113362,68358643666,-6905195709,-4616840729,348150,고바이오랩,KOSDAQ,2024,CFS
91256973066,41988501817,49268471249,69291602991,-9651442284,-6971875295,348150,고바이오랩,KOSDAQ,2025,CFS
