total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
97368839500,14796198585,82572640915,81501152546,12443152363,10155281742,036670,삼양케이씨아이,KOSDAQ,2021,CFS
123130036367,24943833965,98186202402,109605027221,21877282357,17816309653,036670,삼양케이씨아이,KOSDAQ,2022,CFS
119305819711,12878898221,106426921490,109946107606,10271822174,11000382558,036670,삼양케이씨아이,KOSDAQ,2023,CFS
136176478735,17689482768,118486995967,110184780128,15021799262,14713152964,036670,삼양케이씨아이,KOSDAQ,2024,CFS
144227657162,18698156436,125529500726,116839597551,10893690098,9742698115,036670,삼양케이씨아이,KOSDAQ,2025,CFS
