total_assets,total_equity,revenue,operating_income,net_income,total_liabilities,종목코드,회사명,시장구분,연도,fs_div
160149635328,137146903889,50933935065,1924376679,2248106076,22997768000,086980,쇼박스,KOSDAQ,2021,CFS
163178730062,135164795608,56684307302,-3194257528,-2124882555,28009279170,086980,쇼박스,KOSDAQ,2022,CFS
132069649608,104920986947,40170208807,-28295165725,-30299585774,27018160313,086980,쇼박스,KOSDAQ,2023,CFS
154046787722,132196641474,93117572900,24524420126,27428352196,21850146248,086980,쇼박스,KOSDAQ,2024,CFS
132897072384,107450210544,62748042504,-11651067244,-15048131103,25446861840,086980,쇼박스,KOSDAQ,2025,CFS
