total_assets,total_liabilities,total_equity,operating_income,net_income,revenue,종목코드,회사명,시장구분,연도,fs_div
906605618427,646639158815,259966459612,20403955271,9793621075,12811421445,009440,KC그린홀딩스,KOSPI,2021,CFS
792860678470,534872842836,257987835634,13566515116,-17036532280,14342864854,009440,KC그린홀딩스,KOSPI,2022,CFS
916578395937,701431383176,215147012761,-29862667318,-55928223819,698466593657,009440,KC그린홀딩스,KOSPI,2023,CFS
289342395414,116324161045,173018234369,-65171150118,-4984549580,421050049185,009440,KC그린홀딩스,KOSPI,2024,CFS
172280442883,58196733077,114083709806,-1574279438,-40828476557,85959945472,009440,KC그린홀딩스,KOSPI,2025,CFS
