total_assets,total_liabilities,total_equity,net_income,operating_income,종목코드,회사명,시장구분,연도,fs_div
498004936000000,464607446000000,33397490000000,2626894000000,3499029000000,316140,우리금융지주,KOSPI,2023,CFS
525753320000000,489858051000000,35895269000000,3171469000000,4255190000000,316140,우리금융지주,KOSPI,2024,CFS
601457286000000,563598038000000,37859248000000,3227508000000,3674808000000,316140,우리금융지주,KOSPI,2025,CFS
