total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
125291791888,40299826150,84991965738,115176863547,3979104643,5922938815,004830,덕성,KOSPI,2021,CFS
125172358791,41762767242,83409591549,133297779331,5248384446,2515238853,004830,덕성,KOSPI,2022,CFS
126819096992,41050935730,85768161262,107932700729,5090066210,5634121715,004830,덕성,KOSPI,2023,CFS
136247328127,43840629211,92406698916,125453477601,8910501328,6799978765,004830,덕성,KOSPI,2024,CFS
152659897436,55224838547,97435058889,146476303554,6235964595,5490204883,004830,덕성,KOSPI,2025,CFS
