total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
82037753795,33648926519,48388827276,14782212483,-10909355502,-10884095972,101680,한국정밀기계,KOSDAQ,2021,CFS
92248424846,43220152671,49028272175,42292335646,1517355664,514204253,101680,한국정밀기계,KOSDAQ,2022,CFS
88307337199,47603902331,40703434868,43727516189,-7015040631,-7792165721,101680,한국정밀기계,KOSDAQ,2023,CFS
72476385281,30717519354,41758865927,63700982506,2072658584,1503205161,101680,한국정밀기계,KOSDAQ,2024,CFS
71029131353,37054567593,33974563760,30571562943,-7526560759,-8086513616,101680,한국정밀기계,KOSDAQ,2025,CFS
