total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
41538175685,12944572211,28593603474,44163151085,1916422292,5795693948,114190,강원에너지,KOSDAQ,2021,CFS
84439239864,52121351305,32317888559,71379940397,2618432436,3456098463,114190,강원에너지,KOSDAQ,2022,CFS
171528875615,129008631526,42520244089,139211241785,6927849462,5262049560,114190,강원에너지,KOSDAQ,2023,CFS
163883343989,92000859233,71882484756,224422425036,6771969120,-582114193,114190,강원에너지,KOSDAQ,2024,CFS
146635666875,82598714753,64036952122,212251840367,-6095759149,-8467202799,114190,강원에너지,KOSDAQ,2025,CFS
