total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
97713186473,48341147868,49372038605,21990446549,-2123959766,-3207957741,073640,테라사이언스,KOSDAQ,2021,CFS
108476142324,28521418086,79954724238,22809072889,-918874962,28739000899,073640,테라사이언스,KOSDAQ,2022,CFS
94453512980,18858009611,75595503369,23076476627,-3467292394,-2852185664,073640,테라사이언스,KOSDAQ,2023,CFS
78502700730,10926567577,67576133153,17272994116,-9475216577,-10015245493,073640,테라사이언스,KOSDAQ,2024,CFS
56310304518,27689902094,28620402424,14134317596,-10140123497,-17243640695,073640,테라사이언스,KOSDAQ,2025,CFS
