total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
1446228922766,1103404278356,342824644410,324001266815,58089120996,56071252425,044450,KSS해운,KOSPI,2021,CFS
1659172643001,1252892414726,406280228275,445375789707,69511091603,45470527172,044450,KSS해운,KOSPI,2022,CFS
1656034879630,1235554637243,420480242387,472602859921,88361347360,17041880092,044450,KSS해운,KOSPI,2023,CFS
1892003803431,1362506415456,529497387975,517929006796,104082690245,57413693383,044450,KSS해운,KOSPI,2024,CFS
1934139255079,1389814912417,544324342662,561395196426,110332607762,36561603783,044450,KSS해운,KOSPI,2025,CFS
