total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
128047907953,35122758112,92925149841,79862819036,7438470284,9469453903,241690,유니테크노,KOSDAQ,2021,CFS
155505422375,38536949095,116968473280,82372227506,6119272210,4880314736,241690,유니테크노,KOSDAQ,2022,CFS
209707190287,83683576483,126023613804,101893975859,11443596660,9119873859,241690,유니테크노,KOSDAQ,2023,CFS
231054729210,91677587612,139377141598,105133809332,8116951945,10631178845,241690,유니테크노,KOSDAQ,2024,CFS
239757829000,102431940000,137325889000,107159702000,2054515000,-3216997000,241690,유니테크노,KOSDAQ,2025,CFS
