total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
388785779466,151976385644,236809393822,270269449649,16758990471,24475007708,002100,경농,KOSPI,2021,CFS
448632689252,188148524944,260484164308,361604573086,40975101750,18699262735,002100,경농,KOSPI,2022,CFS
448592733973,180131701890,268461032083,347407788945,25209888376,15126191336,002100,경농,KOSPI,2023,CFS
489019203715,210427634017,278591569698,325185752782,26720336645,17736543706,002100,경농,KOSPI,2024,CFS
486456900345,198104326577,288352573768,339236756604,28697544624,19590877957,002100,경농,KOSPI,2025,CFS
