total_assets,total_liabilities,total_equity,revenue,net_income,operating_income,종목코드,회사명,시장구분,연도,fs_div
7787183905719,6851763331999,935420573720,1322207670950,28660804236,33193031920,078020,LS증권,KOSDAQ,2023,CFS
8779672481348,7908255208770,871417272578,1653673426061,16619942808,21808378131,078020,LS증권,KOSDAQ,2024,CFS
10389051092028,9510301483931,878749608097,2295339555776,22950195767,22221062198,078020,LS증권,KOSDAQ,2025,CFS
