total_assets,total_liabilities,total_equity,revenue,net_income,종목코드,회사명,시장구분,연도,fs_div,operating_income
698854940551,180666683063,518188257488,381412347810,8695162181,336260,두산퓨얼셀,KOSPI,2021,CFS,
1026929716010,503865290192,523064425818,312148720814,3863590126,336260,두산퓨얼셀,KOSPI,2022,CFS,
1070842523161,558190645631,512651877530,260886184003,-8500099581,336260,두산퓨얼셀,KOSPI,2023,CFS,
1179654638065,680758798234,498895839831,411783710408,-10474726734,336260,두산퓨얼셀,KOSPI,2024,CFS,-1729039707.0
1198423425943,830942979707,367480446236,454794706613,-132804248876,336260,두산퓨얼셀,KOSPI,2025,CFS,-105673394536.0
