total_assets,total_liabilities,total_equity,revenue,operating_income,종목코드,회사명,시장구분,연도,fs_div,net_income
2656449911686,2079545237446,576904674240,3779129065561,118811528171,008770,호텔신라,KOSPI,2021,CFS,
2938544987435,2398761037870,539783949565,4922008727369,78346330937,008770,호텔신라,KOSPI,2022,CFS,
3006538770202,2398045990017,608492780185,3568466181329,91230447816,008770,호텔신라,KOSPI,2023,CFS,85978496138.0
3813885971903,2529540898565,1284345073338,3947552203343,-5184329302,008770,호텔신라,KOSPI,2024,CFS,-61501483516.0
3541423621707,2435201838277,1106221783430,4068306491409,13512516028,008770,호텔신라,KOSPI,2025,CFS,-172848550007.0
