total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
177485687968,64889817006,112595870962,185899334919,18808965746,15322751583,094820,일진파워,KOSDAQ,2021,CFS
190569946861,65140236619,125429710242,196015491303,17902701235,15675414957,094820,일진파워,KOSDAQ,2022,CFS
193043041242,62342539353,130700501889,190826764234,13120377484,9580223266,094820,일진파워,KOSDAQ,2023,CFS
270453827629,133333451327,137120376302,193088109908,10272754233,9892674397,094820,일진파워,KOSDAQ,2024,CFS
329098066672,177881168264,151216898408,251984799104,24121399743,19553746567,094820,일진파워,KOSDAQ,2025,CFS
