total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
437943843130,139199344515,298744498615,347854510870,16315874373,21531719998,033240,자화전자,KOSPI,2021,CFS
505788674039,162630931615,343157742424,292333491221,-11740371040,-38182504010,033240,자화전자,KOSPI,2022,CFS
692647470965,312897493410,379749977555,503330314586,-16355712201,-24425683991,033240,자화전자,KOSPI,2023,CFS
717683038008,317147270863,400535767145,681144518352,44961233047,16619185505,033240,자화전자,KOSPI,2024,CFS
777823953224,333169120868,444654832356,848919780257,41997195908,47130948352,033240,자화전자,KOSPI,2025,CFS
