total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
54386004301,23623581165,30762423136,49343656972,3442198787,2973542781,014910,성문전자,KOSPI,2021,CFS
57241315662,25167616319,32073699343,49973898725,2467546877,2083804416,014910,성문전자,KOSPI,2022,CFS
60912720397,24201250428,36711469969,45063801937,513645939,-1626600141,014910,성문전자,KOSPI,2023,CFS
75426856694,34099639612,41327217082,48061878139,1103250622,2704580685,014910,성문전자,KOSPI,2024,CFS
83412437341,39290151584,44122285757,53675382629,1673330872,2018979074,014910,성문전자,KOSPI,2025,CFS
