total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
142997593559,101395806126,41601787433,181350412327,-8966863422,-16586716535,096630,에스코넥,KOSDAQ,2021,CFS
166067700127,118848823137,47218876990,200357859731,5823347423,2712159860,096630,에스코넥,KOSDAQ,2022,CFS
206117678309,130363838982,75753839327,275313638771,7965692062,-1327048278,096630,에스코넥,KOSDAQ,2023,CFS
195457767032,141663437913,53794329119,291899010147,4089357066,-27143754421,096630,에스코넥,KOSDAQ,2024,CFS
170621596074,81957154350,88664441724,278688408641,13274075202,35701849592,096630,에스코넥,KOSDAQ,2025,CFS
