total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
823605491269,443810532622,379794958647,624119007652,86750053571,62504561771,074600,원익QnC,KOSDAQ,2021,CFS
1274287597074,804379444832,469908152242,783178805875,115127050949,58239208581,074600,원익QnC,KOSDAQ,2022,CFS
1376503053775,866898414395,509604639380,805948142955,82983414760,50998911602,074600,원익QnC,KOSDAQ,2023,CFS
1534688906131,965379615586,569309290545,891539336878,90611957858,61519379435,074600,원익QnC,KOSDAQ,2024,CFS
1545872449060,975288095868,570584353192,943641492868,59610200277,958070208,074600,원익QnC,KOSDAQ,2025,CFS
