total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
1321597380773,440979863565,880617517208,1111341734130,24960181509,87295095400,001130,대한제분,KOSPI,2021,CFS
1318431898542,399078814703,919353083839,1368170051431,43274283090,41343753991,001130,대한제분,KOSPI,2022,CFS
1401353854060,407391972243,993961881817,1441458547512,54859482247,81242498761,001130,대한제분,KOSPI,2023,CFS
1560462376675,523130128106,1037332248569,1374735359151,72306706525,48829120223,001130,대한제분,KOSPI,2024,CFS
1534815922172,525617679934,1009198242238,1375199649054,62256836691,-25137525435,001130,대한제분,KOSPI,2025,CFS
