total_assets,total_liabilities,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div,total_equity
104969385964,45869845467,0,-31129752767,-29574854320,372320,큐로셀,KOSDAQ,2023,CFS,
72021277015,42567047315,0,-36624042261,-38239224341,372320,큐로셀,KOSDAQ,2024,CFS,29454229700.0
109720314339,104695188622,0,-36289500534,-46305174806,372320,큐로셀,KOSDAQ,2025,CFS,5025125717.0
