total_assets,total_liabilities,total_equity,operating_income,종목코드,회사명,시장구분,연도,fs_div,net_income
83934573674,21141075417,62793498257,-16797556309,140410,메지온,KOSDAQ,2021,CFS,
54021841457,27781788650,26240052807,-23331280109,140410,메지온,KOSDAQ,2022,CFS,
92149353875,30704991008,61444362867,-3521464031,140410,메지온,KOSDAQ,2023,CFS,
73997678716,27935166913,46062511803,-14299550646,140410,메지온,KOSDAQ,2024,CFS,-19476774574.0
98024514218,80829964505,17194549713,-16768533041,140410,메지온,KOSDAQ,2025,CFS,-34928862370.0
