total_assets,total_liabilities,total_equity,revenue,net_income,종목코드,회사명,시장구분,연도,fs_div,operating_income
256982926231,117016269803,139966656428,308281591459,19555965526,067280,멀티캠퍼스,KOSDAQ,2021,CFS,
291749666767,119379682772,172369983995,357486847902,30079910686,067280,멀티캠퍼스,KOSDAQ,2022,CFS,
311785247761,114400645171,197384602590,358598251427,31940210131,067280,멀티캠퍼스,KOSDAQ,2023,CFS,
320717498956,99690002918,221027496038,352739509730,31513316891,067280,멀티캠퍼스,KOSDAQ,2024,CFS,38928839417.0
322041329518,86699229810,235342099708,330827395521,26384397732,067280,멀티캠퍼스,KOSDAQ,2025,CFS,31891937098.0
