total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
79538624907,31715497061,47823127846,47230072502,871731347,-6235930125,004920,씨아이테크,KOSPI,2021,CFS
94704398209,41507587354,53196810855,56721432617,588292963,-657667869,004920,씨아이테크,KOSPI,2022,CFS
90579937958,35659255979,54920681979,57050887121,-7112247389,-8133912644,004920,씨아이테크,KOSPI,2023,CFS
91803642408,37027166960,54776475448,47436608009,-2049221072,-89010303,004920,씨아이테크,KOSPI,2024,CFS
126953652884,53719748525,73233904359,41449800518,2001735146,14619113907,004920,씨아이테크,KOSPI,2025,CFS
