total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
937403118931,124442409140,812960709791,956084029872,-77853692930,-58891078360,003920,남양유업,KOSPI,2021,CFS
902259070497,164307809198,737951261299,964660006375,-86806775040,-78442348379,003920,남양유업,KOSPI,2022,CFS
790678468255,112447509970,678230958285,996763358982,-72354443617,-67099919179,003920,남양유업,KOSPI,2023,CFS
724193724088,92408003076,631785721012,952794199365,-9807235105,249980282,003920,남양유업,KOSPI,2024,CFS
1095486409669,146417897253,949068512416,914148968157,5173833371,7107959269,003920,남양유업,KOSPI,2025,CFS
