total_assets,total_liabilities,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div,total_equity
1557084757896,316664864164,1387401660671,152192853992,111523596684,020000,한섬,KOSPI,2021,CFS,
1684715498594,348223076669,1542221683428,168315660882,120699265831,020000,한섬,KOSPI,2022,CFS,
1724265473784,329926345735,1528640729242,100482854275,80985208567,020000,한섬,KOSPI,2023,CFS,
1746167657721,340068256941,1485263894672,63471661044,43314642835,020000,한섬,KOSPI,2024,CFS,1406099400780.0
1734833488000,297739393000,1491764026000,52178677000,46244859000,020000,한섬,KOSPI,2025,CFS,1437094095000.0
