total_assets,total_liabilities,revenue,operating_income,net_income,total_equity,종목코드,회사명,시장구분,연도,fs_div
45485783692,9949562874,24095098864,2628340155,3231305265,34461007140,430690,한싹,KOSDAQ,2023,CFS
43468551229,7841305569,20518417370,-2712875086,124902854,35627245660,430690,한싹,KOSDAQ,2024,CFS
49280252880,15095705901,26257901602,-1947522602,-2759256597,34184546979,430690,한싹,KOSDAQ,2025,CFS
