total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
136444645101,35781861962,100662783139,58961462990,3775884191,3568236830,088790,진도,KOSPI,2021,CFS
129200779871,25027285482,104173494389,63417016273,6093797742,4571584441,088790,진도,KOSPI,2022,CFS
124296633811,16788657567,107507976244,56370619279,3761675112,4390520650,088790,진도,KOSPI,2023,CFS
134793951029,26852871416,107941079613,44153009434,1143805417,910094404,088790,진도,KOSPI,2024,CFS
140105635533,28557292049,111548343484,47608077683,3983320538,4106678484,088790,진도,KOSPI,2025,CFS
