total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
523564265414,459786677968,63777587446,1348236914736,6261100580,1602088914,024900,디와이덕양,KOSPI,2021,CFS
520217537029,431773772024,88443765005,1542026244310,30682700016,11489079537,024900,디와이덕양,KOSPI,2022,CFS
573648655244,482586900409,91061754835,1875890050635,27728234775,4450283400,024900,디와이덕양,KOSPI,2023,CFS
558566600775,456873783724,101692817051,1883286365934,8229987776,16682505818,024900,디와이덕양,KOSPI,2024,CFS
590839092949,475975091165,114864001784,1738072339439,3203809485,1234561157,024900,디와이덕양,KOSPI,2025,CFS
