total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
179679577569,40521590863,139157986706,45891025090,-4781368454,-102605356119,096690,에이루트,KOSDAQ,2021,CFS
196149255221,49430608296,146718646925,64887675060,346816277,6113751844,096690,에이루트,KOSDAQ,2022,CFS
207091386585,43149991839,163941394746,62225691206,-7070245032,-13246183446,096690,에이루트,KOSDAQ,2023,CFS
222298306008,100416222344,121882083664,68591429517,-20810247816,-45299596818,096690,에이루트,KOSDAQ,2024,CFS
191626675274,86474842300,105151832974,50603806692,-10930076329,-18545662682,096690,에이루트,KOSDAQ,2025,CFS
