total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
837353103705,513683381256,323669722449,288948790879,74110983749,64130826116,122450,KX,KOSDAQ,2021,CFS
879066973356,539460450623,339606522733,326266098023,78631717079,37918026479,122450,KX,KOSDAQ,2022,CFS
1037593626633,687350256221,350243370412,403052353616,62019517372,26600421613,122450,KX,KOSDAQ,2023,CFS
886845254212,443828770310,443016483902,403781469771,59706015673,97517115674,122450,KX,KOSDAQ,2024,CFS
935923720688,450073288514,485850432174,346121725953,38392482859,25555907008,122450,KX,KOSDAQ,2025,CFS
