total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
85438447428,11721324519,73717122909,55705082553,18382829603,21496592051,058630,엠게임,KOSDAQ,2021,CFS
116428109613,23303340301,93124769312,73654249904,30149731370,22576363682,058630,엠게임,KOSDAQ,2022,CFS
148212569849,34307434148,113905135701,81633381472,21314431594,21768758250,058630,엠게임,KOSDAQ,2023,CFS
148894184748,24624223713,124269961035,83424998963,12838678865,15659142806,058630,엠게임,KOSDAQ,2024,CFS
157244091441,20350240424,136893851017,91740255110,17554792432,15998837791,058630,엠게임,KOSDAQ,2025,CFS
