total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
13082664860149,12561568437168,521096422981,4339706411421,93203600406,-516809974210,020560,아시아나항공,KOSPI,2021,CFS
13455341411799,12739695840901,715645570898,6206669334674,598763774896,26525711603,020560,아시아나항공,KOSPI,2022,CFS
13016745781139,12206400392868,810345388271,7623348347364,619928673329,180531807269,020560,아시아나항공,KOSPI,2023,CFS
13449903474132,12446781316354,1003122157778,8318567228711,275690391993,-413015510082,020560,아시아나항공,KOSPI,2024,CFS
12187613804660,11358633907347,828979897313,7266849939986,-345190261173,-292500549971,020560,아시아나항공,KOSPI,2025,CFS
