total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
191769768929,112322390976,79447377953,111908019893,3024063646,5886536283,002410,범양건영,KOSPI,2021,CFS
215054261704,144032362262,71021899442,119750819393,-12326103597,-8414779933,002410,범양건영,KOSPI,2022,CFS
192910732982,130776898314,62133834668,120763371366,-10434014937,-9110987152,002410,범양건영,KOSPI,2023,CFS
187184486500,168333689461,18850797039,101357084787,-38232332659,-46345997273,002410,범양건영,KOSPI,2024,CFS
102977141702,172443353346,-69466211644,71843235941,-51309381647,-87501791532,002410,범양건영,KOSPI,2025,CFS
