total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
117460183728,106734301751,10725881977,101440583884,-35456269910,-43668263154,020760,일진디스플,KOSPI,2021,CFS
117303570494,88372905690,28930664804,124347842285,1052222165,-3263062533,020760,일진디스플,KOSPI,2022,CFS
111889654938,86389552370,25500102568,54334550611,-7962984896,-14921777471,020760,일진디스플,KOSPI,2023,CFS
78894803695,43663123200,35231680495,89157125829,1389859835,5654466072,020760,일진디스플,KOSPI,2024,CFS
67339826255,38770941418,28568884837,57847116015,-4879743944,-6276779316,020760,일진디스플,KOSPI,2025,CFS
