total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
43368837923,13290463964,30078373959,38833025056,1607019727,-105608448,303030,지니틱스,KOSDAQ,2021,CFS
30932825998,9064217785,21868608213,27611138913,-5228689355,-9064827403,303030,지니틱스,KOSDAQ,2022,CFS
28537580689,12335275433,16202305256,33068422790,-6046795133,-5877620907,303030,지니틱스,KOSDAQ,2023,CFS
27628810259,10689650944,16939159315,54075603095,282028983,652960855,303030,지니틱스,KOSDAQ,2024,CFS
21943879670,13001451253,8942428417,36380023074,-8552839558,-9577834521,303030,지니틱스,KOSDAQ,2025,CFS
