total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
79299245941,60259190280,19040055661,110769785777,-4666241262,-5265753179,071950,코아스,KOSPI,2021,CFS
76246124909,58375881363,17870243546,97886470716,-704501535,-1663238571,071950,코아스,KOSPI,2022,CFS
70446617889,59599078671,10847539218,73746191894,-3034190053,-6690888544,071950,코아스,KOSPI,2023,CFS
82510682423,80084340642,2426341781,77951547768,-7244717384,-8934786618,071950,코아스,KOSPI,2024,CFS
81414004367,46696221103,34717783264,62229199785,-5680240797,-31443234564,071950,코아스,KOSPI,2025,CFS
