total_assets,total_liabilities,total_equity,net_income,operating_income,종목코드,회사명,시장구분,연도,fs_div
3900208123178,3288174129416,612033993762,66185070496,82139916795,023760,한국캐피탈,KOSDAQ,2023,CFS
4460298350282,3786612886756,673685463526,81136484227,96867260498,023760,한국캐피탈,KOSDAQ,2024,CFS
5155850351292,4401705086821,754145264471,100521650960,127921709129,023760,한국캐피탈,KOSDAQ,2025,CFS
