total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
189711210206,59671893469,130039316737,43586410995,-11086954548,-17764300601,115450,HLB테라퓨틱스,KOSDAQ,2021,CFS
187643258282,59527711982,128115546300,48132199520,-7877142570,-12104142578,115450,HLB테라퓨틱스,KOSDAQ,2022,CFS
200794852747,29275990847,171518861900,53749062575,-8700260456,-3079320239,115450,HLB테라퓨틱스,KOSDAQ,2023,CFS
219793068613,37924951179,181868117434,54931940888,-7624366419,-23459940477,115450,HLB테라퓨틱스,KOSDAQ,2024,CFS
228655057738,54791634552,173863423186,69561353835,-3534298673,-9667885416,115450,HLB테라퓨틱스,KOSDAQ,2025,CFS
