total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
236951144734,99865710348,137085434386,211830639031,10174967331,4839514321,214270,FSN,KOSDAQ,2021,CFS
261076957370,113686842493,147390114877,206120058551,172549842,-12735718768,214270,FSN,KOSDAQ,2022,CFS
208654639019,115169039811,93485599208,175608088741,-5966339136,-24785408918,214270,FSN,KOSDAQ,2023,CFS
325555790230,229458262905,96097527325,265643193873,831520855,-60942952307,214270,FSN,KOSDAQ,2024,CFS
379267320824,285156223703,94111097121,272289535445,30518488142,-15863077578,214270,FSN,KOSDAQ,2025,CFS
