total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
212140776612,36070032422,176070744190,322146868536,33148768681,25395535406,017480,삼현철강,KOSDAQ,2021,CFS
224289943436,34897295822,189392647614,340566810816,19125865555,16010830220,017480,삼현철강,KOSDAQ,2022,CFS
221362523356,26850104016,194512419340,262437778010,9727719983,10414244126,017480,삼현철강,KOSDAQ,2023,CFS
216868920529,21674155923,195194764606,223661506913,3559859456,5508284894,017480,삼현철강,KOSDAQ,2024,CFS
217456766037,20420877690,197035888347,217962237638,5099289480,6345443768,017480,삼현철강,KOSDAQ,2025,CFS
