total_assets,total_liabilities,total_equity,net_income,revenue,operating_income,종목코드,회사명,시장구분,연도,fs_div
80641687585,15327160843,65314526742,4757784155,9422461591,4646052815,021880,메이슨캐피탈,KOSDAQ,2024,CFS
69181676736,14189047347,54992629389,-10545829677,25090614032,-10097939629,021880,메이슨캐피탈,KOSDAQ,2025,CFS
