total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
3877620716229,2503649583464,1373971132765,2504131193753,99432891702,161832906995,002320,한진,KOSPI,2021,CFS
4093197691709,2558814752905,1534382938804,2849420869433,114501782947,51759790504,002320,한진,KOSPI,2022,CFS
4201363599974,2661786978230,1539576621744,2807528782563,122526979246,26107574417,002320,한진,KOSPI,2023,CFS
4189506445715,2665596451720,1523909993995,3015479161930,100088306580,-365000885,002320,한진,KOSPI,2024,CFS
4316986683575,2793707876721,1523278806854,3064925190779,112195809190,984901814,002320,한진,KOSPI,2025,CFS
