total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
443917258144,187790435848,256126822296,555617543445,16883775550,20321573617,037350,성도이엔지,KOSDAQ,2021,CFS
501600998338,245392537392,256208460946,705803485232,-4985258685,733160844,037350,성도이엔지,KOSDAQ,2022,CFS
645551062822,384127509314,261423553508,678599013645,12314577967,4632891365,037350,성도이엔지,KOSDAQ,2023,CFS
666090425493,423656611377,242433814116,999611416620,27296131094,15309069796,037350,성도이엔지,KOSDAQ,2024,CFS
601886642163,327841617842,274045024321,743406393090,57697884783,28154275616,037350,성도이엔지,KOSDAQ,2025,CFS
