total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
1707383175608,1344552871653,362830303955,3782497523034,35069901698,38005996297,011760,현대코퍼레이션,KOSPI,2021,CFS
1831301801553,1394707519478,436594282075,6126968751169,66827508014,78686325705,011760,현대코퍼레이션,KOSPI,2022,CFS
2059712572964,1479068054337,580644518627,6580447881815,99330569136,83387483943,011760,현대코퍼레이션,KOSPI,2023,CFS
2062309184431,1406981950208,655327234223,6995662947758,133529291485,120975062891,011760,현대코퍼레이션,KOSPI,2024,CFS
2324710834164,1629914358887,694796475277,7554286077242,140131311551,86784804700,011760,현대코퍼레이션,KOSPI,2025,CFS
