total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
248190231392,152906424644,95283806748,186444266263,6867678554,7466832569,006880,신송홀딩스,KOSPI,2021,CFS
242350721393,146219644364,96131077029,209403828091,8574416656,1577789162,006880,신송홀딩스,KOSPI,2022,CFS
242937272679,139384802130,103552470549,193419654722,8381489448,8831541142,006880,신송홀딩스,KOSPI,2023,CFS
254881524377,148133972979,106747551398,164580506815,8401885993,5495211137,006880,신송홀딩스,KOSPI,2024,CFS
274528083479,165622319170,108905764309,187759398480,10311259918,3539082936,006880,신송홀딩스,KOSPI,2025,CFS
