total_assets,total_liabilities,total_equity,revenue,net_income,종목코드,회사명,시장구분,연도,fs_div,operating_income
341056807158,199203739916,141853067242,248212749463,22054807252,008260,NI스틸,KOSPI,2021,CFS,
397444642902,209249322708,188195320194,355390202149,48789612395,008260,NI스틸,KOSPI,2022,CFS,
447987063260,213796827395,234190235865,382911138805,50209592821,008260,NI스틸,KOSPI,2023,CFS,
473689516733,219167117318,254522399415,275274102150,25722065611,008260,NI스틸,KOSPI,2024,CFS,37132983882.0
515938949317,245610674943,270328274374,247943373789,18971462998,008260,NI스틸,KOSPI,2025,CFS,30115120165.0
