total_assets,operating_income,net_income,total_liabilities,total_equity,종목코드,회사명,시장구분,연도,fs_div,revenue
6125007656105,2422658838497,113578198380,4307888147930,1054743947272,089860,롯데렌탈,KOSPI,2021,CFS,
6927204106064,2738939589270,88328519054,4946497235880,1100852103756,089860,롯데렌탈,KOSPI,2022,CFS,
6718109060318,305192202982,115205052028,5352827789031,1365281271287,089860,롯데렌탈,KOSPI,2023,CFS,2752292105099.0
7006616781040,284811996731,102710507301,5538031329236,1468585451804,089860,롯데렌탈,KOSPI,2024,CFS,2792395464171.0
7348326627803,312502750438,126714957828,5792485761393,1555840866410,089860,롯데렌탈,KOSPI,2025,CFS,2918751542343.0
