total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
206247203936,39504964163,166742239773,113249924593,17422339204,17021473137,082920,비츠로셀,KOSDAQ,2021,CFS
237181520633,51477370738,185704149895,140980940372,28825464743,23111882465,082920,비츠로셀,KOSDAQ,2022,CFS
256291153047,24544935080,231746217967,176220480964,37690323911,36054568905,082920,비츠로셀,KOSDAQ,2023,CFS
317852058044,34838584936,283013473108,210779361832,51910636695,51260348099,082920,비츠로셀,KOSDAQ,2024,CFS
370836626050,40346755319,330489870731,243082541135,69267801066,56924763449,082920,비츠로셀,KOSDAQ,2025,CFS
