total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
69813448318,26618268816,43195179502,48582859654,4472505756,3160788432,171010,램테크놀러지,KOSDAQ,2021,CFS
82721891654,31106236618,51615655036,67022778731,6904440941,6059215871,171010,램테크놀러지,KOSDAQ,2022,CFS
92398700468,43810496579,48588203889,42975926481,-2952414219,-2869461764,171010,램테크놀러지,KOSDAQ,2023,CFS
104412607248,56418154213,47994453035,44501337692,-1652887365,-2556801309,171010,램테크놀러지,KOSDAQ,2024,CFS
102310587744,62587743660,39722844084,42682293992,-954464956,-8366143548,171010,램테크놀러지,KOSDAQ,2025,CFS
