total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
280576411043,134822571262,145753839781,311097344645,13714126358,8779905420,053080,케이엔솔,KOSDAQ,2021,CFS
320726454319,161493371550,159233082769,388809234312,21958984857,15994985173,053080,케이엔솔,KOSDAQ,2022,CFS
396459542336,226961284973,169498257363,417441558585,18467923097,11265591096,053080,케이엔솔,KOSDAQ,2023,CFS
415744580233,229796437364,185948142869,579197289294,26427101635,13435956831,053080,케이엔솔,KOSDAQ,2024,CFS
387675478988,263780838342,123894640646,463537032859,-62011659027,-54413352990,053080,케이엔솔,KOSDAQ,2025,CFS
