total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
360754197273,192241163452,168513033821,438323707778,25292627399,17081212132,036890,진성티이씨,KOSDAQ,2021,CFS
402668670097,193183284635,209485385462,541014045943,66316216444,45431101006,036890,진성티이씨,KOSDAQ,2022,CFS
402862020333,170722141792,232139878541,485118584952,39589010073,28407293386,036890,진성티이씨,KOSDAQ,2023,CFS
455354545266,193060380276,262294164990,390515286432,24441981984,20961082240,036890,진성티이씨,KOSDAQ,2024,CFS
514178422526,216644730564,297533691962,463820413148,47942987124,32643052549,036890,진성티이씨,KOSDAQ,2025,CFS
