total_assets,total_liabilities,total_equity,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div,revenue
193598703610,41770247685,151828455925,39086102635,31821611244,143240,사람인,KOSDAQ,2021,CFS,
210171805981,37565642884,172606163097,40588145787,29266991113,143240,사람인,KOSDAQ,2022,CFS,
205968724036,30912662076,175056061960,25264492961,18617909074,143240,사람인,KOSDAQ,2023,CFS,
209662465553,29689501054,179972964499,21263889573,12347760825,143240,사람인,KOSDAQ,2024,CFS,
326698027589,59688328319,267009699270,16775417170,91770600476,143240,사람인,KOSDAQ,2025,CFS,121236114602.0
