total_assets,total_liabilities,revenue,operating_income,net_income,total_equity,종목코드,회사명,시장구분,연도,fs_div
172338330059,18351938260,60370607820,-3628359407,12057889957,164057366236,082270,젬백스,KOSDAQ,2021,CFS
151142710555,16791610787,75804115614,-3945420701,-19603750133,135551453175,082270,젬백스,KOSDAQ,2022,CFS
135153431377,27134775003,72208573285,-7868210684,-27176637525,115985719360,082270,젬백스,KOSDAQ,2023,CFS
150746205875,121740371913,62691712030,-38336839563,-87218733402,39950336902,082270,젬백스,KOSDAQ,2024,CFS
158874710036,101645843703,81530820294,3792531724,-11336638395,62356551112,082270,젬백스,KOSDAQ,2025,CFS
