total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
816261260508,390498743849,425762516659,2500016130715,93143552951,61318977343,037460,삼지전자,KOSDAQ,2021,CFS
993238731390,495205154084,498033577306,2922015004340,88492683439,77998504635,037460,삼지전자,KOSDAQ,2022,CFS
1015542680922,468966213537,546576467385,2526207927918,78343445249,51262488157,037460,삼지전자,KOSDAQ,2023,CFS
1201881762849,561651096262,640230666587,3359681220937,115613198250,94101246232,037460,삼지전자,KOSDAQ,2024,CFS
1825577701009,1080905845802,744671855207,4291096557599,162447915281,118349095866,037460,삼지전자,KOSDAQ,2025,CFS
