total_liabilities,revenue,operating_income,net_income,total_assets,종목코드,회사명,시장구분,연도,fs_div,total_equity
1943566581588,2429327700801,-261260796567,-257944414695,1857761966770,003620,KG모빌리티,KOSPI,2021,CFS,
909004171746,3423340873291,-111950027111,-60133541656,1978718199605,003620,KG모빌리티,KOSPI,2022,CFS,
1552700998060,3736368968570,12547597407,8924265072,2635399999237,003620,KG모빌리티,KOSPI,2023,CFS,1082699001177.0
1683909503308,3905069387798,1432909587,33844431596,3104452196541,003620,KG모빌리티,KOSPI,2024,CFS,1420542693233.0
1884654616602,4303636808271,36155571131,46571489864,3369204394425,003620,KG모빌리티,KOSPI,2025,CFS,1484549777823.0
