total_assets,total_liabilities,total_equity,revenue,net_income,종목코드,회사명,시장구분,연도,fs_div,operating_income
829946537157,177761363486,652185173671,1023913370455,152220791940,357780,솔브레인,KOSDAQ,2021,CFS,
934907217558,135667905528,799239312030,1090867446512,167672934020,357780,솔브레인,KOSDAQ,2022,CFS,
995442871278,76620708886,918822162392,844029122465,130955384417,357780,솔브레인,KOSDAQ,2023,CFS,133488376256.0
1168214133834,130878284640,1037335849194,863356156458,119611878137,357780,솔브레인,KOSDAQ,2024,CFS,167948756594.0
1446750282671,335174469307,1111575813364,923381966875,83989215352,357780,솔브레인,KOSDAQ,2025,CFS,133642405522.0
