total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
31045608117,18532375925,12513232192,5262263902,-4552727665,-4222413218,058450,한주에이알티,KOSDAQ,2021,CFS
19765113041,15236089997,4529023044,5581476636,-5607422546,-8015367436,058450,한주에이알티,KOSDAQ,2022,CFS
38882847669,19780183812,19102663857,10500794559,-2928750062,-3195387807,058450,한주에이알티,KOSDAQ,2023,CFS
37285619002,16909126578,20376492424,14264269214,-6507549393,-10011720046,058450,한주에이알티,KOSDAQ,2024,CFS
25319382564,15320580668,9998801896,6286258658,-5991886693,-10455279127,058450,한주에이알티,KOSDAQ,2025,CFS
