total_assets,total_liabilities,total_equity,net_income,operating_income,종목코드,회사명,시장구분,연도,fs_div
448427279000000,416610518000000,31816761000000,2675188000000,3432281000000,024110,기업은행,KOSPI,2023,CFS
472219838000000,437988747000000,34231091000000,2654338000000,3594087000000,024110,기업은행,KOSPI,2024,CFS
500692621000000,463836597000000,36856024000000,2718868000000,3655589000000,024110,기업은행,KOSPI,2025,CFS
