total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
211040260387,67550257673,143490002714,115826299716,12494617124,8950514043,054950,제이브이엠,KOSDAQ,2021,CFS
231713430104,73591962361,158121467743,141977630092,21991342719,15756495119,054950,제이브이엠,KOSDAQ,2022,CFS
257522493174,78030231968,179492261206,157085342969,29770728060,26243571574,054950,제이브이엠,KOSDAQ,2023,CFS
284799777615,82463755191,202336022424,159434150636,30675011499,28844340035,054950,제이브이엠,KOSDAQ,2024,CFS
319127680911,85180325791,233947355120,173129219712,33276260919,28350804537,054950,제이브이엠,KOSDAQ,2025,CFS
