total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
94382951481,31222739639,63160211842,52923301514,-6450837549,-25089965752,258610,케일럼,KOSDAQ,2021,CFS
128870240531,67370329459,61499911072,86003347816,-3545647691,-21685770057,258610,케일럼,KOSDAQ,2022,CFS
96147239343,64824133583,31323105760,84547280407,-4408723587,-48873520830,258610,케일럼,KOSDAQ,2023,CFS
90050932024,42494865453,47556066571,97331264354,2774801050,2240683324,258610,케일럼,KOSDAQ,2024,CFS
79874351233,34350062520,45524288713,81698394490,-813473054,-2747929354,258610,케일럼,KOSDAQ,2025,CFS
