total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
95628933362,57693072310,37935861052,101674780041,-20163832822,-21138103500,142280,녹십자엠에스,KOSDAQ,2021,CFS
96470671147,60820133549,35650537598,113109118702,-1262531609,-3058695883,142280,녹십자엠에스,KOSDAQ,2022,CFS
90529343090,53605865713,36923477377,94010675488,1800722614,1876754309,142280,녹십자엠에스,KOSDAQ,2023,CFS
87974526873,44545776353,43428750520,103852287192,2334698730,3396435104,142280,녹십자엠에스,KOSDAQ,2024,CFS
90509916706,44144546721,46365369985,108413453299,2887175599,3460965761,142280,녹십자엠에스,KOSDAQ,2025,CFS
